region,year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
Sub-Saharan Africa,2007,759166312.00,332473108.00,404187300.00,22505899.00,654639.00,179402845.00
Sub-Saharan Africa,2008,780134203.00,341278673.00,415760139.00,23095387.00,778427.00,250924461.00
Sub-Saharan Africa,2009,801717149.00,350146852.00,427896136.00,23674162.00,894361.00,303408848.00
Sub-Saharan Africa,2010,823899223.00,359043334.00,440608046.00,24247841.00,1298449.00,367425154.00
Sub-Saharan Africa,2011,846674768.00,368465691.00,453193150.00,25015926.00,1584678.00,445828442.00
Sub-Saharan Africa,2012,866801927.00,376461263.00,464698491.00,25642174.00,1985569.00,515477081.00
Sub-Saharan Africa,2013,890713124.00,385658869.00,478655258.00,26398997.00,2826270.00,586376362.00
Sub-Saharan Africa,2014,915148668.00,394769192.00,493219075.00,27160401.00,3406132.00,648815890.00
Sub-Saharan Africa,2015,940075591.00,403780311.00,508361614.00,27933665.00,3408089.00,719022017.00
Sub-Saharan Africa,2016,965474176.00,413071695.00,523511462.00,28891018.00,3837863.00,716680283.00
Sub-Saharan Africa,2017,991346729.00,422166056.00,539335209.00,29845467.00,3980481.00,726189792.00
Sub-Saharan Africa,2018,1017698871.00,431078419.00,555812152.00,30808300.00,4167210.00,733013398.00
Sub-Saharan Africa,2019,1044545693.00,439836728.00,572917523.00,31791445.00,5092358.00,843120170.00
Sub-Saharan Africa,2020,1071896421.00,448465870.00,590624608.00,32805941.00,6411058.00,903036265.00
Sub-Saharan Africa,2021,1099746821.00,457383768.00,608368781.00,33994272.00,,
